Product Name,SKU,Barcode,Cost Price,Selling Price,Brand,Part No,Source Row
SEAL - HEAD COVER,AA101844,AA101844,7.56,11.00,BAJAJ,AA101844,2
CAM CHAIN 100 LINKS,DK101064,DK101064,26.11,37.50,BAJAJ,DK101064,3
CHAIN,RA511202,RA511202,26.89,39.00,BAJAJ,RA511202,4
ASSLY CRANKSHAFT-205FL,AA101949,AA101949,428.24,612.00,BAJAJ,AA101949,5
CRANKSHAFT ASSEMBLY,AF101277,AF101277,420.57,601.00,BAJAJ,AF101277,6
NUT HEXAGON FLANGE M16,39193815,39193815,2.22,3.20,BAJAJ,39193815,7
ASSLY CAMSHAFT,AA101864,AA101864,97.23,139.00,BAJAJ,AA101864,8
ARMATURE ASSY,AA111082,AA111082,107.11,153.00,BAJAJ,AA111082,9
KIT CONNECTING ROD,36AA4132-BAJAJ-KIT-CONNECTING-ROD,36AA4132-BAJAJ-KIT-CONNECTING-ROD,91.81,131.00,BAJAJ,36AA4132,10
OIL PUMP ASSLY,AA121336,AA121336,27.42,39.20,BAJAJ,AA121336,11
CHAIN,AM101174,AM101174,36.66,52.50,BAJAJ,AM101174,12
GEAR CABL2524 COM 4S,AA191093-BAJAJ-GEAR-CABL2524-COM-4S,AA191093-BAJAJ-GEAR-CABL2524-COM-4S,31.94,45.70,BAJAJ,AA191093,13
GEAR CABL2520 COM 4S,AA191094-BAJAJ-GEAR-CABL2520-COM-4S,AA191094-BAJAJ-GEAR-CABL2520-COM-4S,31.84,45.50,BAJAJ,AA191094,14
CARBURETTOR ASSLY,AA121324,AA121324,200.47,286.00,BAJAJ,AA121324,15
CYL BLOCK PISTON ASSLY-LPG,36AA4105,36AA4105,372.07,532.00,BAJAJ,36AA4105,16
KIT VALAVE 4S BSIV,36AA4106,36AA4106,56.28,80.50,BAJAJ,36AA4106,17
ROTOR ASSLY,AA111202,AA111202,184.24,263.50,BAJAJ,AA111202,18
TENSIONER ASSEMBLY,DS101277,DS101277,18.59,26.60,BAJAJ,DS101277,19
COIL H.T. WITH CABLE AND CAP-LH,AA111132,AA111132,36.25,51.90,BAJAJ,AA111132,20
SPROCKET CAMSHAFT,PD511229,PD511229,5.24,7.50,BAJAJ,PD511229,21
SECTOR ASSY COMP.WITH LEVER,AA101736,AA101736,28.86,41.30,BAJAJ,AA101736,22
ASSLY SECTOR COMP.REV.CONTROL,AA102018,AA102018,30.09,43.00,BAJAJ,AA102018,23
STATOR ASSEMBLY(200CC),AN111013,AN111013,140.29,200.00,BAJAJ,AN111013,24
IDLER GEAR,AN101338,AN101338,94.48,135.00,BAJAJ,AN101338,25
ASSLY HOT AIR DEFLECTOR,AA102075,AA102075,20.95,30.00,BAJAJ,AA102075,26
COWLING INTAKE SIDE,AN101162,AN101162,15.51,22.00,BAJAJ,AN101162,27
INTERNAL COWLING,AN101203,AN101203,32.97,47.20,BAJAJ,AN101203,28
ASSLY FAN COVER,AA101970,AA101970,31.22,44.50,BAJAJ,AA101970,29
PISTON VALVE KIT AA121280 4S PET,36AA4112,36AA4112,26.39,38.00,BAJAJ,36AA4112,30
KEY WOODRUFF-C'SHAFT MAG SIDE,AP101257,AP101257,0.70,1.00,BAJAJ,AP101257,31
HEAD COVER,AN101177,AN101177,65.42,93.60,BAJAJ,AN101177,32
RUBBER PLUG ON BODY,AA231273,AA231273,1.07,1.50,BAJAJ,AA231273,33
HANDLE BAR BODY,AP161048,AP161048,180.23,257.00,BAJAJ,AP161048,34
ASSLY GEAR CONTROL TUBE,24181074,24181074,18.18,26.00,BAJAJ,24181074,35
TUBE GAS CONTR W H.BA,24191098,24191098,12.73,18.20,BAJAJ,24191098,36
PACKING SHIELD & WINDSHIELD REFL,24231641,24231641,20.11,28.80,BAJAJ,24231641,37
BEADING ONE PIECE W/S GLASS,AA231239,AA231239,96.89,139.00,BAJAJ,AA231239,38
SLEEVE BUMPER MTG SIDE FL,24165274,24165274,5.03,7.20,BAJAJ,24165274,39
SLEEVE BUMPER MTG MID FL,24165273,24165273,4.31,6.20,BAJAJ,24165273,40
NEUTRAL SWITCH CABLE,AP111023,AP111023,9.22,13.20,BAJAJ,AP111023,41
CABLE BRAKE PARKING REAR,AA151083,AA151083,37.38,53.50,BAJAJ,AA151083,42
GEAR ASSEMBLY DIFFERENTIAL,AM101107,AM101107,325.14,465.00,BAJAJ,AM101107,43
PIN GEAR BEVEL,24131032,24131032,6.33,9.00,BAJAJ,24131032,44
BEARING BALL,30151059-BAJAJ-BEARING-BALL,30151059-BAJAJ-BEARING-BALL,11.11,16.00,BAJAJ,30151059,45
"CYL PISTON-LPG,PET 4S ASSLY",36AN0010,36AN0010,372.69,533.00,BAJAJ,36AN0010,46
COLLAR CAMSHAFT,AA101814,AA101814,4.11,5.80,BAJAJ,AA101814,47
SPARK PLUG,AZ351207,AZ351207,11.81,17.00,BAJAJ,AZ351207,48
