Product Name,SKU,Category,Cost Price,Selling Price,Stock,Reorder Level,Unit,Active,Description,Barcode
SEAL - HEAD COVER,AA101844,BAJAJ,0,0,68,0,pcs,yes,SEAL - HEAD COVER,AA101844
CAM CHAIN 100 LINKS,DK101064,BAJAJ,0,0,450,0,pcs,yes,CAM CHAIN 100 LINKS,DK101064
CHAIN,RA511202,BAJAJ,0,0,565,0,pcs,yes,CHAIN,RA511202
ASSLY CRANKSHAFT-205FL,AA101949,BAJAJ,0,0,331,0,pcs,yes,ASSLY CRANKSHAFT-205FL,AA101949
CRANKSHAFT ASSEMBLY,AF101277,BAJAJ,0,0,13,0,pcs,yes,CRANKSHAFT ASSEMBLY,AF101277
NUT HEXAGON FLANGE M16,39193815,BAJAJ,0,0,480,0,pcs,yes,NUT HEXAGON FLANGE M16,39193815
ASSLY CAMSHAFT,AA101864,BAJAJ,0,0,150,0,pcs,yes,ASSLY CAMSHAFT,AA101864
ARMATURE ASSY,AA111082,BAJAJ,0,0,55,0,pcs,yes,ARMATURE ASSY,AA111082
KIT CONNECTING ROD,36AA4132-BAJAJ-KIT-CONNECTING-ROD,BAJAJ,0,0,20,0,pcs,yes,KIT CONNECTING ROD,36AA4132-BAJAJ-KIT-CONNECTING-ROD
OIL PUMP ASSLY,AA121336,BAJAJ,0,0,240,0,pcs,yes,OIL PUMP ASSLY,AA121336
CHAIN,AM101174,BAJAJ,0,0,380,0,pcs,yes,CHAIN,AM101174
GEAR CABL2524 COM 4S,AA191093-BAJAJ-GEAR-CABL2524-COM-4S,BAJAJ,0,0,175,0,pcs,yes,GEAR CABL2524 COM 4S,AA191093-BAJAJ-GEAR-CABL2524-COM-4S
GEAR CABL2520 COM 4S,AA191094-BAJAJ-GEAR-CABL2520-COM-4S,BAJAJ,0,0,175,0,pcs,yes,GEAR CABL2520 COM 4S,AA191094-BAJAJ-GEAR-CABL2520-COM-4S
CARBURETTOR ASSLY,AA121324,BAJAJ,0,0,102,0,pcs,yes,CARBURETTOR ASSLY,AA121324
CYL BLOCK PISTON ASSLY-LPG,36AA4105,BAJAJ,0,0,90,0,pcs,yes,CYL BLOCK PISTON ASSLY-LPG,36AA4105
KIT VALAVE 4S BSIV,36AA4106,BAJAJ,0,0,390,0,pcs,yes,KIT VALAVE 4S BSIV,36AA4106
ROTOR ASSLY,AA111202,BAJAJ,0,0,33,0,pcs,yes,ROTOR ASSLY,AA111202
TENSIONER ASSEMBLY,DS101277,BAJAJ,0,0,565,0,pcs,yes,TENSIONER ASSEMBLY,DS101277
COIL H.T. WITH CABLE AND CAP-LH,AA111132,BAJAJ,0,0,118,0,pcs,yes,COIL H.T. WITH CABLE AND CAP-LH,AA111132
SPROCKET CAMSHAFT,PD511229,BAJAJ,0,0,370,0,pcs,yes,SPROCKET CAMSHAFT,PD511229
SECTOR ASSY COMP.WITH LEVER,AA101736,BAJAJ,0,0,145,0,pcs,yes,SECTOR ASSY COMP.WITH LEVER,AA101736
ASSLY SECTOR COMP.REV.CONTROL,AA102018,BAJAJ,0,0,145,0,pcs,yes,ASSLY SECTOR COMP.REV.CONTROL,AA102018
STATOR ASSEMBLY(200CC),AN111013,BAJAJ,0,0,261,0,pcs,yes,STATOR ASSEMBLY(200CC),AN111013
IDLER GEAR,AN101338,BAJAJ,0,0,123,0,pcs,yes,IDLER GEAR,AN101338
ASSLY HOT AIR DEFLECTOR,AA102075,BAJAJ,0,0,0,0,pcs,yes,ASSLY HOT AIR DEFLECTOR,AA102075
COWLING INTAKE SIDE,AN101162,BAJAJ,0,0,0,0,pcs,yes,COWLING INTAKE SIDE,AN101162
INTERNAL COWLING,AN101203,BAJAJ,0,0,0,0,pcs,yes,INTERNAL COWLING,AN101203
ASSLY FAN COVER,AA101970,BAJAJ,0,0,3,0,pcs,yes,ASSLY FAN COVER,AA101970
PISTON VALVE KIT AA121280 4S PET,36AA4112,BAJAJ,0,0,52,0,pcs,yes,PISTON VALVE KIT AA121280 4S PET,36AA4112
KEY WOODRUFF-C'SHAFT MAG SIDE,AP101257,BAJAJ,0,0,9800,0,pcs,yes,KEY WOODRUFF-C'SHAFT MAG SIDE,AP101257
HEAD COVER,AN101177,BAJAJ,0,0,2,0,pcs,yes,HEAD COVER,AN101177
RUBBER PLUG ON BODY,AA231273,BAJAJ,0,0,0,0,pcs,yes,RUBBER PLUG ON BODY,AA231273
HANDLE BAR BODY,AP161048,BAJAJ,0,0,0,0,pcs,yes,HANDLE BAR BODY,AP161048
ASSLY GEAR CONTROL TUBE,24181074,BAJAJ,0,0,15,0,pcs,yes,ASSLY GEAR CONTROL TUBE,24181074
TUBE GAS CONTR W H.BA,24191098,BAJAJ,0,0,0,0,pcs,yes,TUBE GAS CONTR W H.BA,24191098
PACKING SHIELD & WINDSHIELD REFL,24231641,BAJAJ,0,0,0,0,pcs,yes,PACKING SHIELD & WINDSHIELD REFL,24231641
BEADING ONE PIECE W/S GLASS,AA231239,BAJAJ,0,0,0,0,pcs,yes,BEADING ONE PIECE W/S GLASS,AA231239
SLEEVE BUMPER MTG SIDE FL,24165274,BAJAJ,0,0,0,0,pcs,yes,SLEEVE BUMPER MTG SIDE FL,24165274
SLEEVE BUMPER MTG MID FL,24165273,BAJAJ,0,0,0,0,pcs,yes,SLEEVE BUMPER MTG MID FL,24165273
NEUTRAL SWITCH CABLE,AP111023,BAJAJ,0,0,400,0,pcs,yes,NEUTRAL SWITCH CABLE,AP111023
CABLE BRAKE PARKING REAR,AA151083,BAJAJ,0,0,40,0,pcs,yes,CABLE BRAKE PARKING REAR,AA151083
GEAR ASSEMBLY DIFFERENTIAL,AM101107,BAJAJ,0,0,38,0,pcs,yes,GEAR ASSEMBLY DIFFERENTIAL,AM101107
PIN GEAR BEVEL,24131032,BAJAJ,0,0,40,0,pcs,yes,PIN GEAR BEVEL,24131032
BEARING BALL,30151059-BAJAJ-BEARING-BALL,BAJAJ,0,0,450,0,pcs,yes,BEARING BALL,30151059-BAJAJ-BEARING-BALL
"CYL PISTON-LPG,PET 4S ASSLY",36AN0010,BAJAJ,0,0,4,0,pcs,yes,"CYL PISTON-LPG,PET 4S ASSLY",36AN0010
COLLAR CAMSHAFT,AA101814,BAJAJ,0,0,0,0,pcs,yes,COLLAR CAMSHAFT,AA101814
SPARK PLUG,AZ351207,BAJAJ,0,0,440,0,pcs,yes,SPARK PLUG,AZ351207
AXEL REAR,24171118-BAJAJ-AXEL-REAR,BAJAJ,0,0,100,0,pcs,yes,AXEL REAR,24171118-BAJAJ-AXEL-REAR
BEARING RACE KIT LOWER-COMP & Z,36BH0053,BAJAJ,0,0,14,0,pcs,yes,BEARING RACE KIT LOWER-COMP & Z,36BH0053
IDLER GEAR NEW MODEL,AF101208,BAJAJ,0,0,40,0,pcs,yes,IDLER GEAR NEW MODEL,AF101208
DIFFERENTIAL GASKET BS6,AN101312,BAJAJ,0,0,50,0,pcs,yes,DIFFERENTIAL GASKET BS6,AN101312
LEVER-ASSY,DH101180,BAJAJ,0,0,200,0,pcs,yes,LEVER-ASSY,DH101180
